a,b1,b2,b3,b4,b5,b6
0.18282764,-0.38894886,-0.08607198,0.11448572,-0.8971254,-0.23907156,0.36027536
0.07368974,0.028571622,0.18474662,-0.29564637,-0.57587475,0.59751654,0.8294663
0.13678674,-0.36069587,-0.57935184,-0.31004304,-0.9255245,-0.5635526,-0.0007148399
-0.08575621,-0.0924883,0.27604255,0.008837536,-0.7295698,0.5258738,0.3150514
0.2691411,-0.3693201,-0.79792464,-0.7565106,-1.0825261,-0.5242238,-0.12592538
0.031508114,0.044510704,-0.029973216,-0.06112949,-0.68792003,0.14675064,0.081943795
0.105631456,-0.27152255,-0.59941816,-0.6089639,-0.8908892,-0.45752907,-0.048624836
0.024439462,0.38361514,0.36388922,0.24244064,-0.53350407,0.88612336,0.57252556
0.17032564,-0.47979873,-0.7753609,-0.1565162,-0.51915205,-0.35021406,0.3554295
0.093606934,0.260416,0.26592344,0.17598972,0.17366458,0.6403864,0.50713414
